rank	name	box	date
1	Titanic	$600.788	December 19, 1997
2	Star Wars: Episode IV - A New Hope	$460.998	May 25, 1977
3	Shrek 2	$436.721	May 19, 2004
4	E.T. the Extra-Terrestrial	$433.005	June 11, 1982
5	Star Wars: Episode I - The Phantom Menace	$431.088	May 19, 1999
6	Spider-Man	$407.681	May 3, 2002
7	Star Wars: Episode III - Revenge of the Sith	$380.262	May 19, 2005
8	The Lord Of The Rings: The Return of The King	$377.027	December 17, 2003
9	Spider-Man 2	$373.378	June 30, 2004
10	The Passion of the Christ	$370.500	February 25, 2004
11	Jurassic Park	$357.067	June 11, 1993
12	The Lord Of The Rings: The Two Towers	$340.655	December 18, 2002
13	Finding Nemo	$339.714	May 30, 2003
14	Forrest Gump	$329.693	July 4, 1994
15	The Lion King	$328.538	June 15, 1994
16	Harry Potter and the Sorcerers Stone	$317.575	November 16, 2001
17	The Lord Of The Rings: Fellowship of The Ring	$314.163	December 19, 2001
18	Star Wars: Episode II - Attack Of The Clones	$310.675	May 16, 2002
19	Star Wars: Episode VI - Return Of The Jedi	$309.206	May 25, 1983
20	Independence Day	$306.169	July 3, 1996
21	Pirates of the Caribbean: The Curse of the Black Pearl	$305.413	July 9, 2003
22	The Sixth Sense	$293.506	August 6, 1999
23	Star Wars: Episode V - The Empire Strikes Back	$290.272	May 21, 1980
24	Home Alone	$285.761	November 16, 1990
25	Harry Potter and the Goblet of Fire	$284.361	November 18, 2005
26	The Matrix Reloaded	$281.519	May 15, 2003
27	Meet the Fockers	$279.167	December 22, 2004
28	Shrek	$267.665	May 18, 2001
29	The Chronicles of Narnia: The Lion, The Witch and The Wardrobe	$265.073	December 9, 2005
30	Harry Potter and the Chamber of Secrets	$261.988	November 15, 2002
31	The Incredibles	$261.437	November 5, 2004
32	Dr. Seuss How The Grinch Stole Christmas	$260.030	November 17, 2000
33	Jaws	$260.000	June 20, 1975
34	Monsters Inc.	$255.830	November 2, 2001
35	Batman	$251.190	June 23, 1989
36	Men In Black	$250.156	July 2, 1997
37	Harry Potter and the Prisoner of Azkaban	$249.359	June 4, 2004
38	Toy Story 2	$245.822	November 24, 1999
39	Bruce Almighty	$242.704	May 23, 2003
40	Raiders Of The Lost Ark	$242.374	June 1, 1981
41	Twister	$241.721	May 10, 1996
42	My Big Fat Greek Wedding	$241.438	July 7, 2002
43	Ghostbusters	$238.600	June 8, 1984
44	Beverly Hills Cop	$234.760	December 5, 1984
45	War of the Worlds	$234.277	June 29, 2005
46	Cast Away	$233.630	December 22, 2000
47	The Exorcist	$232.671	September 15, 2000
48	The Lost World: Jurassic Park	$229.086	May 23, 1997
49	Signs	$227.965	August 2, 2002
50	Rush Hour 2	$226.138	August 3, 2001
51	Mrs. Doubtfire	$219.195	November 24, 1993
52	Ghost	$217.631	July 13, 1990
53	Aladdin	$217.350	November 11, 1992
54	Saving Private Ryan	$216.335	July 24, 1998
55	Mission: Impossible 2	$215.409	May 24, 2000
56	X2: X-Men United	$214.949	May 2, 2003
57	Austin Powers in Goldmember	$213.080	July 26, 2002
58	Back to The Future	$210.610	July 3, 1985
59	Wedding Crashers	$209.218	July 15, 2005
60	Charlie and the Chocolate Factory	$206.456	July 15, 2005
61	Austin Powers: The Spy Who Shagged Me	$205.399	June 11, 1999
62	Batman Begins	$205.343	June 15, 2005
63	King Kong	$205.298	December 14, 2005
64	Terminator 2: Judgement Day	$204.843	July 3, 1991
65	The Mummy Returns	$202.008	May 4, 2001
66	Armageddon	$201.578	July 1, 1998
67	Gone With the Wind	$198.655	December 15, 1939
68	Pearl Harbor	$198.542	May 25, 2001
69	Indiana Jones & The Last Crusade	$197.171	May 24, 1989
70	Men In Black II	$194.391	July 3, 2002
71	Madagascar	$193.136	May 27, 2005
72	Toy Story	$191.773	November 22, 1995
73	Gladiator	$187.683	May 5, 2000
74	The Day After Tomorrow	$186.740	May 28, 2004
75	Mr. and Mrs. Smith	$186.336	June 10, 2005
76	Snow White and the Seven Dwarfs	$184.925	February 4, 1938
77	Dances with Wolves	$184.925	November 21, 1990
78	Batman Forever	$184.031	June 16, 1995
79	The Fugitive	$183.753	August 6, 1993
80	Oceans Eleven	$183.349	December 7, 2001
81	What Women Want	$182.805	December 15, 2000
82	The Perfect Storm	$182.618	June 30, 2000
83	Liar Liar	$181.395	March 21, 1997
84	Grease	$181.360	July 7, 1978
85	Jurassic Park III	$181.166	July 18, 2001
86	Mission: Impossible	$180.981	May 22, 1996
87	Planet Of The Apes	$180.012	July 27, 2001
88	Indiana Jones & The Temple Of Doom	$179.870	May 1, 1984
89	Hitch	$179.200	February 11, 2005
90	Pretty Woman	$178.406	March 23, 1990
91	Tootsie	$177.200	December 17, 1982
92	Top Gun	$176.782	May 16, 1986
93	Theres Something About Mary	$176.484	July 15, 1998
94	Ice Age	$176.387	March 15, 2002
95	The Bourne Supremacy	$176.049	July 23, 2004
96	Crocodile Dundee	$174.635	September 26, 1986
97	Apollo 13	$173.756	June 30, 1995
98	Home Alone 2: Lost in New York	$173.600	November 20, 1992
99	The Polar Express	$173.493	November 10, 2004
100	Elf	$173.381	November 7, 2003
101	National Treasure	$173.016	November 19, 2004
102	Air Force One	$172.888	July 25, 1997
103	Rain Man	$172.825	December 12, 1988
104	The Matrix	$171.479	March 31, 1999
105	Beauty and the Beast	$171.301	January 1, 1991
106	Tarzan	$171.085	June 18, 1999
107	Chicago	$170.685	January 24, 2003
108	A Beautiful Mind	$169.348	January 4, 2002
109	Three Men and a Baby	$167.781	November 25, 1987
110	Meet the Parents	$166.244	October 6, 2000
111	Robin Hood: Prince of Thieves	$165.494	June 14, 1991
112	Hannibal	$165.091	February 9, 2001
113	Catch Me if You Can	$164.607	December 25, 2002
114	Big Daddy	$163.480	June 25, 1999
115	Batman Returns	$162.832	June 19, 1992
116	The Polar Express	$162.793	November 10, 2004
117	The Waterboy	$161.487	November 6, 1998
118	Shark Tale	$161.412	October 1, 2004
119	Die Another Day	$160.701	November 22, 2002
120	The Sting	$159.600	December 25, 1973
121	The Sound of Music	$158.671	March 2, 1965
122	The Firm	$158.348	June 30, 1993
123	The Longest Yard	$158.115	May 27, 2005
124	X-Men	$157.175	July 14, 2002
125	Scary Movie	$156.997	July 7, 2000
126	Fatal Attraction	$156.646	September 18, 1987
127	What Lies Beneath	$155.370	July 21, 2000
128	The Mummy	$155.248	May 7, 1999
129	Fantastic Four	$154.693	July 8, 2005
131	Beverly Hills Cop 2	$153.665	May 20, 1987
132	Jerry Maguire	$153.621	December 13, 1996
133	Scooby Doo	$153.294	June 14, 2002
134	Runaway Bride	$152.150	July 30, 1999
135	Rambo: First Blood Part II	$150.415	May 24, 1985
136	Terminator 3: Rise Of The Machines	$150.350	July 2, 2003
137	Gremlins	$148.168	June 8, 1984
138	As Good As It Gets	$147.637	December 25, 1995
139	Lethal Weapon 2	$147.254	July 7, 1989
140	True Lies	$146.282	July 15, 1994
141	Lilo & Stitch	$145.772	June 21, 2002
142	American Pie 2	$145.097	August 10, 2001
143	101 Dalmatians	$144.880	January 25, 1961
144	I, Robot	$144.795	July 16, 2004
147	The Fast and the Furious	$144.512	June 22, 2001
148	Dr. Dolittle	$144.156	June 26, 1998
149	xXx	$141.931	August 9, 2002
151	Animal House	$141.600	July 1, 1978
152	Pocahontas	$141.579	June 23, 1995
153	A Few Good Men	$141.340	December 11, 1992
154	Rush Hour	$141.154	September 18, 1998
155	The Blair Witch Project	$140.530	July 16, 1999
156	Deep Impact	$140.388	May 8, 1998
158	Stuart Little	$140.015	December 17, 1999
161	The Matrix Revolutions	$139.260	November 5, 2003
162	The Santa Clause 2	$139.227	November 1, 2002
163	Cheaper by the Dozen	$138.614	December 25, 2003
164	Bad Boys II	$138.500	July 18, 2003
165	Good Will Hunting	$138.339	December 5, 1997
167	Dinosaur	$137.748	May 19, 2000
168	The Green Mile	$136.801	December 10, 1999
169	Ransom	$136.385	November 10, 1996
170	Godzilla	$136.142	May 20, 1998
171	101 Dalmatians	$135.539	November 27, 1996
172	Teenage Mutant Ninja Turtles	$135.266	
173	The Godfather	$134.966	March 14, 1972
174	Patch Adams	$134.900	December 25, 1998
176	The Rock	$134.100	June 7, 1996
177	Anger Management	$133.757	April 11, 2003
178	Troy	$133.259	May 14, 2004
179	Chicken Little	$133.235	November 4, 2005
180	Bringing Down The House	$132.541	March 7, 2003
181	The Hulk	$132.123	June 20, 2003
182	Minority Report	$132.024	June 21, 2002
183	Lara Croft: Tomb Raider	$131.145	June 15, 2001
184	Silence Of The Lambs	$130.727	August 1, 1991
186	The Flintstones	$130.513	May 27, 1994
187	American Beauty	$130.058	September 15, 1999
189	Lethal Weapon 4	$129.735	July 10, 1998
191	The Ring	$128.581	October 18, 2002
192	Close Encounters of the Third Kind	$128.290	November 16, 1977
193	Robots	$128.195	March 11, 2005
194	Coming to America	$128.152	June 29, 1988
195	Crouching Tiger, Hidden Dragon	$128.079	December 15, 2000
197	Sweet Home Alabama	$127.613	September 27, 2002
198	2Fast 2Furious	$127.084	June 6, 2003
200	My Best Friends Wedding	$126.805	June 27, 1997
204	Mr. Deeds	$126.293	June 28, 2002
205	Erin Brockovich	$125.549	March 17, 2000
206	Oceans Twelve	$125.531	December 10, 2004
207	Dumb and Dumber	$125.464	December 16, 1994
208	Tomorrow Never Dies	$125.332	December 19, 1997
209	Charlies Angels	$125.306	November 3, 2000
210	Somethings Gotta Give	$124.591	December 12, 2003
211	Traffic	$124.107	January 5, 2001
212	City Slickers	$124.034	June 7, 1991
213	The Birdcage	$123.987	March 8, 1996
215	Nutty Professor II: The Klumps	$123.308	July 28, 2000
217	Clear and Present Danger	$121.985	August 3, 1994
218	The Bodyguard	$121.946	November 25, 1992
220	The Bourne Identity	$121.661	June 14, 2002
221	Speed	$121.248	June 10, 1994
222	50 First Dates	$120.777	February 13, 2004
224	Mulan	$120.570	June 19, 1998
225	Seabiscuit	$120.147	July 25, 2003
226	Van Helsing	$120.025	May 7, 2004
229	Blazing Saddles	$119.500	February 7, 1974
